AAPL (Apple Inc.),202.63,-9.82
Aug 25 2019 @ 10:55 ET,Bid,201.6,Ask,201.84,Size,2x1,Vol,46882843
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
08/30/2019,AAPL190830C00130000,72.1,-10.8,70.6,74.85,19,1.3608,0.9957,0.0004,44,130.000,AAPL190830P00130000,0.01,0.005,0,0.02,20,1.179,-0.0013,0.0001,2863
08/30/2019,AAPL190830C00135000,67.35,-10.525,65.6,69.85,19,1.2539,0.9954,0.0004,6,135.000,AAPL190830P00135000,0.01,-0.005,0,0.06,243,1.1885,-0.0031,0.0003,836
08/30/2019,AAPL190830C00140000,70.35,0,60.6,64.85,0,1.1474,0.9952,0.0005,7,140.000,AAPL190830P00140000,0.02,0.005,0.01,0.07,237,1.126,-0.0042,0.0004,431
08/30/2019,AAPL190830C00145000,0,0,55.6,59.9,0,1.0994,0.9928,0.0007,0,145.000,AAPL190830P00145000,0.04,0.025,0.02,0.04,255,0.9988,-0.0037,0.0004,453
08/30/2019,AAPL190830C00150000,53.14,-9.735,50.65,54.9,1,1.0345,0.9902,0.001,4,150.000,AAPL190830P00150000,0.04,0.025,0.03,0.09,493,0.9789,-0.007,0.0008,1314
08/30/2019,AAPL190830C00152500,0,0,48.15,52.4,0,0.9851,0.9897,0.0011,0,152.500,AAPL190830P00152500,0.05,0.04,0,0.05,27,0.844,-0.0037,0.0005,560
08/30/2019,AAPL190830C00155000,57.4,0,45.65,49.95,0,0.9645,0.9871,0.0013,44,155.000,AAPL190830P00155000,0.05,0.02,0.04,0.15,240,0.9382,-0.011,0.0012,520
08/30/2019,AAPL190830C00157500,55,0,43.15,47.45,0,0.9145,0.9864,0.0015,10,157.500,AAPL190830P00157500,0.05,0.035,0.02,0.1,79,0.8359,-0.0081,0.001,274
08/30/2019,AAPL190830C00160000,44.5,0,40.65,44.95,0,0.8628,0.9858,0.0016,1,160.000,AAPL190830P00160000,0.11,0.105,0.1,0.13,542,0.8622,-0.0141,0.0016,9499
08/30/2019,AAPL190830C00162500,42.46,0,38.25,42.5,0,0.8755,0.9785,0.0023,1,162.500,AAPL190830P00162500,0.1,0.085,0.06,0.78,203,1.008,-0.0381,0.0032,498
08/30/2019,AAPL190830C00165000,41.35,-6.55,35.9,40,1,0.872,0.971,0.0029,22,165.000,AAPL190830P00165000,0.15,0.12,0.03,0.16,231,0.7404,-0.0134,0.0018,787
08/30/2019,AAPL190830C00167500,33.55,0,33.25,37.55,0,0.7871,0.9737,0.003,0,167.500,AAPL190830P00167500,0.17,0.155,0.04,0.2,91,0.7189,-0.0173,0.0023,348
08/30/2019,AAPL190830C00170000,30.6,0,31.25,34.7,0,0.7759,0.9654,0.0038,40,170.000,AAPL190830P00170000,0.2,0.18,0.09,0.24,944,0.705,-0.0233,0.003,2492
08/30/2019,AAPL190830C00172500,34.6,0,28.8,32.2,0,0.7337,0.9608,0.0044,5,172.500,AAPL190830P00172500,0.27,0.24,0.05,0.39,374,0.6882,-0.0307,0.0039,546
08/30/2019,AAPL190830C00175000,39.35,0,26.35,29.75,24,0.6998,0.9536,0.0053,113,175.000,AAPL190830P00175000,0.28,0.255,0.27,0.33,718,0.6748,-0.0409,0.005,2186
08/30/2019,AAPL190830C00177500,26.3,0,23.95,27.35,0,0.6795,0.9413,0.0066,103,177.500,AAPL190830P00177500,0.32,0.29,0.25,0.37,590,0.6251,-0.045,0.0058,740
08/30/2019,AAPL190830C00180000,23.62,-9.33,22.4,24.9,6,0.7498,0.9001,0.009,211,180.000,AAPL190830P00180000,0.42,0.375,0.31,0.45,2819,0.5964,-0.0559,0.0073,2442
08/30/2019,AAPL190830C00182500,25.47,-4.98,19.1,22.5,14,0.6052,0.9178,0.0096,185,182.500,AAPL190830P00182500,0.47,0.425,0.45,0.55,689,0.5765,-0.0727,0.0092,1299
08/30/2019,AAPL190830C00185000,18.87,-9.08,16.55,20.1,21,0.5507,0.9079,0.0115,112,185.000,AAPL190830P00185000,0.66,0.595,0.61,0.67,5142,0.5526,-0.0927,0.0116,1910
08/30/2019,AAPL190830C00187500,16,-9.5,14.25,17.8,38,0.5304,0.8809,0.0144,118,187.500,AAPL190830P00187500,0.82,0.735,0.68,0.83,1079,0.5153,-0.1128,0.0143,2109
08/30/2019,AAPL190830C00190000,13.8,-9.225,13.2,14.55,362,0.5239,0.8404,0.0178,597,190.000,AAPL190830P00190000,1,0.885,0.92,1.1,7688,0.4962,-0.1474,0.0179,4609
08/30/2019,AAPL190830C00192500,11.3,-9.25,11.3,11.8,419,0.4784,0.8083,0.0219,349,192.500,AAPL190830P00192500,1.35,1.195,1.3,1.45,6859,0.4813,-0.193,0.0219,1856
08/30/2019,AAPL190830C00195000,9.45,-8.625,8.9,10.25,867,0.469,0.7497,0.0261,653,195.000,AAPL190830P00195000,1.75,1.545,1.62,1.86,9576,0.452,-0.243,0.0266,6809
08/30/2019,AAPL190830C00197500,7.35,-8.325,7.05,8.2,735,0.4457,0.6854,0.0306,434,197.500,AAPL190830P00197500,2.31,2.025,2,2.44,6562,0.4232,-0.3065,0.0319,2126
08/30/2019,AAPL190830C00200000,5.75,-7.55,5.5,6.25,2493,0.4266,0.6073,0.0347,1912,200.000,AAPL190830P00200000,3.05,2.655,3,3.15,28616,0.4199,-0.388,0.0351,6148
08/30/2019,AAPL190830C00202500,4.04,-6.96,4.25,4.45,4588,0.41,0.5179,0.0374,1138,202.500,AAPL190830P00202500,4.1,3.53,3.75,4.15,13774,0.3904,-0.4822,0.0393,2504
08/30/2019,AAPL190830C00205000,3.15,-5.625,2.9,3.05,18619,0.3853,0.4194,0.039,1868,205.000,AAPL190830P00205000,5.35,4.505,4.65,5.45,18585,0.363,-0.5867,0.0413,8726
08/30/2019,AAPL190830C00207500,2.14,-4.56,1.95,2.14,11265,0.3805,0.3245,0.0364,1577,207.500,AAPL190830P00207500,6.8,5.525,6.4,7,9304,0.3648,-0.6832,0.0375,2925
08/30/2019,AAPL190830C00210000,1.31,-3.515,1.26,1.35,25029,0.3701,0.2369,0.0321,5211,210.000,AAPL190830P00210000,8.6,6.69,6.85,8.75,9640,0.2574,-0.8542,0.0342,12366
08/30/2019,AAPL190830C00212500,0.75,-2.475,0.75,0.82,11151,0.3631,0.1611,0.0259,4520,212.500,AAPL190830P00212500,10.9,8.08,9.55,11.15,3676,0.323,-0.8684,0.0254,7824
08/30/2019,AAPL190830C00215000,0.44,-1.54,0.45,0.5,16904,0.3628,0.1071,0.0196,10807,215.000,AAPL190830P00215000,12.6,8.525,11,14.3,1783,0.3342,-0.9119,0.0184,1745
08/30/2019,AAPL190830C00217500,0.25,-0.82,0.24,0.29,9317,0.3591,0.066,0.0137,5835,217.500,AAPL190830P00217500,14.7,9.05,12.9,17.05,455,0.3311,-0.9492,0.0121,1049
08/30/2019,AAPL190830C00220000,0.16,-0.345,0.14,0.16,5784,0.3596,0.0404,0.0093,6781,220.000,AAPL190830P00220000,18,10.375,15.3,19.6,264,0.3617,-0.9592,0.0093,1696
08/30/2019,AAPL190830C00222500,0.09,-0.145,0.08,0.1,1909,0.3672,0.0253,0.0062,2464,222.500,AAPL190830P00222500,20.05,10.175,17.75,22.05,13,0.377,-0.9715,0.0067,685
08/30/2019,AAPL190830C00225000,0.06,-0.055,0.05,0.07,1938,0.38,0.0172,0.0043,4110,225.000,AAPL190830P00225000,22.75,10.5,20.65,24.5,39,0.4944,-0.9467,0.0084,93
08/30/2019,AAPL190830C00227500,0.04,-0.025,0.03,0.05,143,0.392,0.0116,0.003,1526,227.500,AAPL190830P00227500,15.6,0,22.7,26.85,0,0,-1,0,1
08/30/2019,AAPL190830C00230000,0.02,-0.02,0.02,0.04,634,0.4048,0.0081,0.0021,3241,230.000,AAPL190830P00230000,27.15,9.925,25.2,29.5,46,0.05,-1,0,0
08/30/2019,AAPL190830C00232500,0.02,-0.005,0.01,0.04,29,0.4315,0.0072,0.0018,1012,232.500,AAPL190830P00232500,19.8,0,27.7,32,0,0.05,-1,0,0
08/30/2019,AAPL190830C00235000,0.01,-0.005,0.01,0.02,182,0.4402,0.0048,0.0012,1979,235.000,AAPL190830P00235000,28.16,0,30.2,34.35,0,0,-1,0,0
